Identifier 1,Corr d13C,Corr d15N
BG2023_57_COMP_mill_BTM,-21.188152,0.3877696
BG2023_76_COMP_mill_TOP,-28.2337984,1.8224944
BG2023_1814_COMP_mill_TOP,-28.3265952,2.2154384
Protein_std,-21.4082976,0.7845472
Sorghumflour_std,-27.2120464,5.7308496
Peachleaves_std,-13.7999472,1.4506352
Protein_std,-26.8776924,6.1971702
Sorghumflour_std,-13.7692776,2.1307376
Peachleaves_std,-26.1063768,1.8359554
BG2023_148_COMP_mill_TOP,-24.7266996,0.0106484
BG2023_148_COMP_mill_MID,-21.8972256,0.1668244
BG2023_148_COMP_mill_BTM,-22.6310124,0.953561
BG2023_1816_COMP_mill_TOP,-25.5710976,-0.4744733
BG2023_1816_COMP_mill_MID,-25.98984,-0.705809
BG2023_1816_COMP_mill_BTM,-25.7814564,0.2429602
BG2023_1827_COMP_mill_TOP,-23.382576,0.299574
BG2023_1827_COMP_mill_MID,-26.5063548,0.7241775
BG2023_1827_COMP_mill_BTM,-25.9691004,-0.0293717
BG2023_261_COMP_mill_TOP,-25.1681568,-0.4930192
BG2023_261_COMP_mill_MID,-26.1982236,-0.432501
BG2023_261_COMP_mill_BTM,-27.79221,0.7602932
BG2023_12_COMP_mill_TOP,-21.8093292,1.5616713
BG2023_12_COMP_mill_MID,-23.4793608,1.5021292
BG2023_12_COMP_mill_BTM,-24.4501716,3.2220174
BG2023_1662_COMP_mill_TOP,-18.1008912,-1.3754136
BG2023_1662_COMP_mill_MID,-18.2411304,-0.8395347
BG2023_1662_COMP_mill_BTM,-18.474204,-0.4637362
Protein_std,-26.9665764,5.6993592
Sorghumflour_std,-13.7169348,1.9072107
Peachleaves_std,-26.0105796,1.6963731
BG2023_5038_COMP_mill_TOP,-22.2774516,0.1756093
BG2023_5038_COMP_mill_MID,-23.8082316,-0.6501713
BG2023_5038_COMP_mill_BTM,-23.2275228,0.1951313
BG2023_5634_COMP_mill_TOP,-18.7764096,-0.8561284
BG2023_5634_COMP_mill_MID,-20.7338328,0.0155289
BG2023_5634_COMP_mill_BTM,-19.8380796,0.0584773
BG2023_219_COMP_mill_TOP,-22.207332,-0.1338144
BG2023_219_COMP_mill_MID,-27.3211248,1.2083231
BG2023_219_COMP_mill_BTM,-27.574938,2.1980885
BG2023_1953_COMP_mill_TOP,-21.6187224,-1.154815
BG2023_1953_COMP_mill_MID,-20.9441916,-1.1021056
BG2023_1953_COMP_mill_BTM,-22.3386828,-1.1304125
BG2023_1661_COMP_mill_TOP,-24.8007696,-1.623343
BG2023_1661_COMP_mill_MID,-23.4842988,-1.0542767
BG2023_1661_COMP_mill_BTM,-23.491212,-1.1206515
BG2023_354_COMP_mill_TOP,-17.1992124,-0.9273837
BG2023_354_COMP_mill_MID,-17.66931,-1.223142
BG2023_354_COMP_mill_BTM,-18.2105148,-0.178715
Protein_std,-26.8411512,5.7745189
Sorghumflour_std,-13.541142,1.4660135
Peachleaves_std,-26.0086044,1.5714323
Protein_std,-26.8315475,6.1293293
Sorghumflour_std,-13.6069385,2.0012483
Peachleaves_std,-26.1772205,1.9696328
BG2023_5014_COMP_mill_TOP,-23.3137895,-2.2442617
BG2023_5014_COMP_mill_MID,-20.287277,-2.5694497
BG2023_5014_COMP_mill_BTM,-23.362814,-0.6409042
BG2023_147_COMP_mill_TOP,-25.7149895,-0.7800124
BG2023_147_COMP_mill_MID,-26.630447,-0.6273547
BG2023_147_COMP_mill_BTM,-26.870567,0.4222799
BG2023_156_COMP_mill_TOP,-22.760513,-0.4051429
